Number,Type,Name,Registration Point,Filename
412,bitmap,40034,"(213, 142)",
413,bitmap,40035,"(205, 137)",
414,bitmap,40036,"(213, 142)",
415,bitmap,40037,"(213, 142)",
416,bitmap,40038,"(212, 142)",
417,bitmap,40039,"(204, 137)",
418,bitmap,40040,"(213, 142)",
419,bitmap,40041,"(214, 142)",
420,bitmap,40042,"(213, 142)",
421,bitmap,40043,"(213, 142)",
422,bitmap,40045,"(212, 142)",
423,bitmap,40048,"(213, 142)",
424,bitmap,40049,"(213, 142)",
425,bitmap,40050,"(213, 142)",
426,bitmap,40051,"(214, 142)",
427,bitmap,40052,"(214, 142)",
428,bitmap,40053,"(213, 142)",
429,bitmap,40054,"(212, 142)",
430,bitmap,40055,"(213, 142)",
431,bitmap,40056,"(213, 142)",
432,bitmap,40057,"(212, 142)",
433,bitmap,40058,"(213, 142)",
434,bitmap,40060,"(213, 142)",
435,bitmap,40061,"(212, 142)",
436,bitmap,40062,"(204, 137)",
437,bitmap,40063,"(217, 142)",
438,bitmap,40064,"(213, 142)",
439,bitmap,40065,"(213, 142)",
440,bitmap,40066,"(214, 142)",
441,bitmap,40067,"(213, 142)",
442,bitmap,40068,"(212, 142)",
443,bitmap,40069,"(213, 142)",
444,bitmap,40070,"(213, 142)",
445,bitmap,40071,"(213, 142)",
446,bitmap,40073,"(206, 137)",
447,bitmap,40074,"(213, 142)",
448,bitmap,40075,"(213, 142)",
449,bitmap,40076,"(213, 142)",
450,bitmap,40077,"(213, 142)",
451,bitmap,40078,"(213, 142)",
452,bitmap,40079,"(212, 142)",
453,bitmap,40080,"(214, 142)",
454,bitmap,40081,"(213, 142)",
455,bitmap,40082,"(212, 142)",
456,bitmap,40083,"(213, 142)",
457,bitmap,40084,"(204, 137)",
458,bitmap,40085,"(212, 142)",
459,bitmap,40086,"(213, 142)",
460,bitmap,40087,"(192, 137)",
461,bitmap,40089,"(205, 137)",
462,bitmap,40090,"(206, 137)",
463,bitmap,40091,"(213, 142)",
464,bitmap,40092,"(213, 142)",
465,bitmap,40094,"(213, 142)",
466,bitmap,40095,"(213, 142)",
467,bitmap,40096,"(213, 142)",
468,bitmap,40098,"(212, 142)",
469,bitmap,40099,"(213, 142)",
470,bitmap,40100,"(213, 142)",
471,bitmap,40101,"(213, 142)",
472,bitmap,40102,"(212, 142)",
473,bitmap,40103,"(213, 142)",
474,bitmap,40105,"(213, 142)",
475,bitmap,40106,"(205, 137)",
476,bitmap,40107,"(213, 142)",
477,bitmap,40108,"(212, 142)",
478,bitmap,40109,"(213, 142)",
479,bitmap,40110,"(213, 142)",
480,bitmap,40111,"(213, 142)",
481,bitmap,40112,"(205, 137)",
482,bitmap,40113,"(212, 142)",
483,bitmap,40114,"(213, 142)",
484,bitmap,40115,"(204, 137)",
485,bitmap,40116,"(213, 142)",
486,bitmap,40117,"(212, 142)",
487,bitmap,40118,"(213, 142)",
488,bitmap,40119,"(212, 142)",
489,bitmap,40121,"(213, 142)",
490,bitmap,40122,"(213, 142)",
491,bitmap,40123,"(213, 142)",
492,bitmap,40124,"(213, 142)",
493,bitmap,40125,"(211, 142)",
494,bitmap,40126,"(213, 142)",
495,bitmap,40128,"(213, 142)",
496,bitmap,40129,"(213, 142)",
497,bitmap,40130,"(204, 137)",
498,bitmap,40131,"(212, 142)",
499,bitmap,40132,"(213, 142)",
500,bitmap,40133,"(213, 142)",
501,bitmap,40134,"(213, 142)",
502,bitmap,40135,"(213, 142)",
503,bitmap,40136,"(212, 142)",
504,bitmap,40137,"(213, 142)",
505,bitmap,40138,"(204, 137)",
506,bitmap,40139,"(204, 137)",
507,bitmap,40140,"(212, 142)",
508,bitmap,40141,"(212, 142)",
509,bitmap,40143,"(213, 142)",
510,bitmap,40144,"(214, 142)",
511,bitmap,40145,"(213, 142)",
512,bitmap,40146,"(212, 142)",
513,bitmap,40147,"(213, 142)",
514,bitmap,40148,"(213, 142)",
515,bitmap,40150,"(213, 142)",
516,bitmap,40152,"(204, 137)",
517,bitmap,40153,"(204, 137)",
518,bitmap,40154,"(212, 142)",
519,bitmap,40155,"(213, 142)",
520,bitmap,40156,"(212, 142)",
521,bitmap,40157,"(204, 137)",
522,bitmap,40159,"(213, 142)",
523,bitmap,40160,"(204, 137)",
524,bitmap,40162,"(213, 142)",
525,bitmap,40163,"(213, 142)",
526,bitmap,40164,"(213, 142)",
527,bitmap,40165,"(204, 137)",
528,bitmap,40166,"(213, 142)",
529,bitmap,40167,"(213, 142)",
530,bitmap,40168,"(206, 137)",
531,bitmap,40169,"(213, 142)",
532,bitmap,40170,"(213, 142)",
533,bitmap,40171,"(212, 142)",
534,bitmap,40172,"(213, 142)",
535,bitmap,40173,"(213, 142)",
536,bitmap,40174,"(212, 142)",
537,bitmap,40175,"(204, 137)",
538,bitmap,40177,"(213, 142)",
539,bitmap,40178,"(213, 142)",
540,bitmap,40179,"(213, 142)",
541,bitmap,40180,"(213, 142)",
542,bitmap,40181,"(213, 142)",
543,bitmap,40182,"(213, 142)",
544,bitmap,40184,"(204, 137)",
545,bitmap,40185,"(213, 142)",
546,bitmap,40186,"(205, 137)",
547,bitmap,40187,"(204, 137)",
548,bitmap,40188,"(212, 142)",
549,bitmap,40189,"(212, 142)",
550,bitmap,40190,"(213, 142)",
551,bitmap,40191,"(206, 137)",
552,bitmap,40193,"(212, 142)",
553,bitmap,40194,"(204, 137)",
554,bitmap,40195,"(213, 142)",
555,bitmap,40196,"(213, 142)",
556,bitmap,40197,"(212, 142)",
557,bitmap,40198,"(213, 142)",
558,bitmap,40199,"(212, 142)",
559,bitmap,40200,"(213, 142)",
560,bitmap,40201,"(213, 142)",
561,bitmap,40202,"(212, 142)",
562,bitmap,40203,"(213, 142)",
563,bitmap,40204,"(212, 142)",
564,bitmap,40205,"(213, 142)",
565,bitmap,40206,"(213, 142)",
566,bitmap,40207,"(212, 142)",
567,bitmap,40208,"(213, 142)",
568,bitmap,40209,"(213, 142)",
569,bitmap,40210,"(213, 142)",
570,bitmap,40211,"(212, 142)",
571,bitmap,40213,"(213, 142)",
572,bitmap,40214,"(213, 142)",
573,bitmap,40215,"(213, 142)",
574,bitmap,40216,"(213, 142)",
575,bitmap,40217,"(213, 142)",
576,bitmap,40218,"(213, 142)",
577,bitmap,40219,"(204, 137)",
578,bitmap,40220,"(213, 142)",
579,bitmap,40221,"(204, 137)",
580,bitmap,40222,"(213, 142)",
581,bitmap,40223,"(213, 142)",
582,bitmap,40224,"(213, 142)",
583,bitmap,40225,"(213, 142)",
584,bitmap,40226,"(213, 142)",
585,bitmap,40227,"(213, 142)",
586,bitmap,40228,"(213, 142)",
587,bitmap,40229,"(204, 137)",
588,bitmap,40230,"(213, 142)",
589,bitmap,40231,"(204, 137)",
590,bitmap,40232,"(213, 142)",
591,bitmap,40233,"(213, 142)",
592,bitmap,40234,"(213, 142)",
593,bitmap,40236,"(205, 137)",
594,bitmap,40237,"(204, 137)",
595,bitmap,40238,"(213, 142)",
596,bitmap,40239,"(213, 142)",
597,bitmap,40240,"(213, 142)",
598,bitmap,40241,"(213, 142)",
599,bitmap,40242,"(204, 137)",
600,bitmap,40243,"(213, 142)",
601,bitmap,40244,"(213, 142)",
602,bitmap,40245,"(213, 142)",
603,bitmap,40246,"(204, 137)",
604,bitmap,40247,"(213, 142)",
605,bitmap,40248,"(213, 142)",
606,bitmap,40249,"(212, 142)",
607,bitmap,40250,"(205, 137)",
608,bitmap,40251,"(204, 137)",
609,bitmap,40252,"(213, 142)",
610,bitmap,40253,"(213, 142)",
611,bitmap,40254,"(204, 137)",
612,bitmap,40255,"(204, 137)",
613,bitmap,40256,"(213, 142)",
614,bitmap,40257,"(213, 142)",
615,bitmap,40258,"(213, 142)",
616,bitmap,40259,"(213, 142)",
617,bitmap,40260,"(212, 142)",
618,bitmap,40261,"(212, 142)",
619,bitmap,40262,"(213, 142)",
620,bitmap,40263,"(213, 142)",
621,bitmap,40264,"(212, 142)",
622,bitmap,40265,"(212, 142)",
623,bitmap,40266,"(205, 137)",
624,bitmap,40267,"(214, 142)",
625,bitmap,40268,"(213, 142)",
626,bitmap,40269,"(213, 142)",
627,bitmap,40270,"(213, 142)",
628,bitmap,40271,"(213, 142)",
629,bitmap,40272,"(205, 137)",
630,bitmap,40273,"(213, 142)",
631,bitmap,40274,"(213, 142)",
632,bitmap,40275,"(212, 142)",
633,bitmap,40276,"(213, 142)",
634,bitmap,40277,"(213, 142)",
635,bitmap,40278,"(213, 142)",
636,bitmap,40279,"(213, 142)",
637,bitmap,40280,"(213, 142)",
638,bitmap,40281,"(213, 142)",
639,bitmap,40282,"(204, 137)",
640,bitmap,40283,"(206, 137)",
641,bitmap,40285,"(213, 142)",
642,bitmap,40286,"(213, 142)",
643,bitmap,40287,"(213, 142)",
644,bitmap,40289,"(213, 142)",
645,bitmap,40290,"(213, 142)",
646,bitmap,40291,"(213, 142)",
647,bitmap,40292,"(213, 142)",
648,bitmap,40293,"(204, 137)",
649,bitmap,40294,"(213, 142)",
650,bitmap,40295,"(212, 142)",
651,bitmap,40296,"(204, 137)",
652,bitmap,40298,"(213, 142)",
653,bitmap,40299,"(213, 142)",
654,bitmap,40300,"(213, 142)",
655,bitmap,40301,"(213, 142)",
656,bitmap,40302,"(213, 142)",
657,bitmap,40303,"(213, 142)",
658,bitmap,40305,"(213, 142)",
659,bitmap,40306,"(212, 142)",
660,bitmap,40307,"(213, 142)",
661,bitmap,40308,"(213, 142)",
662,bitmap,40309,"(212, 142)",
663,bitmap,40310,"(213, 142)",
664,bitmap,40311,"(212, 142)",
665,bitmap,40312,"(213, 142)",
666,bitmap,40313,"(213, 142)",
667,bitmap,40314,"(213, 142)",
668,bitmap,40315,"(204, 137)",
669,bitmap,40316,"(213, 142)",
670,bitmap,40317,"(212, 142)",
671,bitmap,40318,"(205, 137)",
672,bitmap,40320,"(214, 142)",
673,bitmap,40321,"(204, 137)",
674,bitmap,40322,"(213, 142)",
675,bitmap,40323,"(213, 142)",
676,bitmap,40324,"(213, 142)",
677,bitmap,40325,"(213, 142)",
678,bitmap,40326,"(212, 142)",
679,bitmap,40327,"(213, 142)",
680,bitmap,40328,"(204, 137)",
681,bitmap,40329,"(212, 142)",
682,bitmap,40331,"(204, 137)",
683,bitmap,40332,"(212, 142)",
684,bitmap,40333,"(213, 142)",
685,bitmap,40334,"(213, 142)",
686,bitmap,40335,"(213, 142)",
687,bitmap,40336,"(213, 142)",
688,bitmap,40338,"(204, 137)",
689,bitmap,40339,"(204, 137)",
690,bitmap,40340,"(213, 142)",
691,bitmap,40341,"(204, 137)",
692,bitmap,40342,"(213, 142)",
693,bitmap,41587,"(211, 142)",
694,bitmap,41588,"(211, 142)",
695,bitmap,41589,"(211, 142)",
